id,teacherId,startTime,endTime,hourlyRate,currency,minHours,maxHours,isAvailable,createdAt,updatedAt,minDuration,maxDuration
cmb3uzc2a0001l404k007z69k,7d5f65e2-2e8d-4e7d-9259-08415fdfc18f,2025-05-27 01:00:00,2025-05-27 04:00:00,7000,JPY,1,,t,2025-05-25 16:14:11.411,2025-05-25 16:14:11.411,60,90
cmb3v1v1y0003jy04gax6acka,3af90368-6441-4bc3-a293-279c22e2b50a,2025-05-27 01:00:00,2025-05-27 09:00:00,7500,JPY,1,,t,2025-05-25 16:16:09.334,2025-05-25 16:16:09.334,60,90
cmb3v2kub0001k404ejjkw4fz,3af90368-6441-4bc3-a293-279c22e2b50a,2025-05-30 01:00:00,2025-05-30 09:00:00,7000,JPY,1,,t,2025-05-25 16:16:42.755,2025-05-25 16:16:42.755,60,90
cmb3v00d90001jy04o4qzixg1,7d5f65e2-2e8d-4e7d-9259-08415fdfc18f,2025-05-29 01:00:00,2025-05-29 11:00:00,7000,JPY,1,,t,2025-05-25 16:14:42.91,2025-05-25 16:19:00.62,60,90
